Name,Code,1.11.07,2.11.07,5.11.07,6.11.07,7.11.07,8.11.07,9.11.07,12.11.07,13.11.07,14.11.07,15.11.07,16.11.07,19.11.07,20.11.07,21.11.07,22.11.07,23.11.07,26.11.07,27.11.07,28.11.07,29.11.07,30.11.07,3.12.07,4.12.07,5.12.07,6.12.07,7.12.07,10.12.07,11.12.07,12.12.07,13.12.07,14.12.07,17.12.07,18.12.07,19.12.07,20.12.07,21.12.07,24.12.07,25.12.07,26.12.07,27.12.07,28.12.07,31.12.07,1.1.08,2.1.08,3.1.08,4.1.08,7.1.08,8.1.08,9.1.08,10.1.08,11.1.08,14.1.08,15.1.08,16.1.08,17.1.08,18.1.08,21.1.08,22.1.08,23.1.08,24.1.08,25.1.08,28.1.08,29.1.08,30.1.08,31.1.08,1.2.08
BTAN FRANCE 2004 3% 12/01/10 - CLEAN PRICE,476999(CP),97.815,97.9141,97.9229,97.8895,97.9767,98.0557,98.1716,98.1424,98.095,98.0229,98.124,98.2359,98.4078,98.3073,98.4835,98.5286,98.4657,98.4854,98.4409,98.3461,98.4373,98.2876,98.3962,98.4543,98.452,98.3846,98.1429,98.0202,98.0919,97.9137,97.9221,97.8685,97.8858,97.9054,97.9317,97.9817,97.8972,97.8972,97.8972,97.8972,97.8396,97.94,97.9506,97.9506,98.2302,98.2908,98.3996,98.3829,98.2821,98.444,98.4038,98.4462,98.5404,98.6317,98.7892,98.8616,98.9658,98.9658,99.0598,99.3763,98.9585,98.9865,99.0206,98.9457,98.9412,99.1626,99.1661
OAT FRANCE 2000 5 1/2% 25/04/10 - CLEAN PRICE,206606(CP),103.2592,103.3672,103.3728,103.3229,103.4143,103.5048,103.6352,103.5908,103.5206,103.4134,103.5287,103.6466,103.8496,103.7282,103.9144,103.9689,103.8804,103.8962,103.8304,103.6973,103.7985,103.6135,103.7363,103.8049,103.7866,103.6955,103.4073,103.2486,103.3315,103.1255,103.1645,103.0785,103.0973,103.1031,103.1365,103.1754,103.061,103.061,103.061,103.061,102.9693,103.0629,103.051,103.051,103.3849,103.4501,103.5702,103.549,103.4308,103.6085,103.5426,103.5718,103.6671,103.7649,103.9312,104.0219,104.1247,104.36,104.2424,104.5963,104.0979,104.1453,104.1759,104.0681,104.0486,104.3006,104.2731
BTAN FRANCE 2005 2 1/2% 12/07/10 - CLEAN PRICE,55752N(CP),96.0698,96.1884,96.1993,96.1546,96.2625,96.3622,96.5123,96.4763,96.4062,96.3203,96.4427,96.5676,96.7717,96.6561,96.8764,96.9032,96.8333,96.8566,96.795,96.6796,96.8036,96.639,96.7718,96.8521,96.8501,96.7576,96.4747,96.3185,96.427,96.2442,96.2726,96.1985,96.2227,96.2452,96.284,96.3469,96.2458,96.2458,96.2458,96.2458,96.1774,96.2966,96.2929,96.2929,96.6499,96.7306,96.8573,96.845,96.7223,96.9191,96.8605,96.9101,97.0156,97.1241,97.3042,97.4066,97.525,97.7543,97.6294,98.0065,97.5221,97.5899,97.6225,97.5225,97.5096,97.782,97.7878
OAT FRANCE 2000 5 1/2% 25/10/10 - CLEAN PRICE,221374(CP),103.8233,103.9517,103.9598,103.9005,104.015,104.127,104.2882,104.2463,104.1615,104.0504,104.1959,104.3326,104.5749,104.4469,104.6703,104.7209,104.6124,104.6259,104.5482,104.3699,104.5098,104.3052,104.4626,104.5498,104.5253,104.4114,104.0612,103.8661,103.9665,103.7286,103.7651,103.6776,103.6973,103.6927,103.729,103.7833,103.651,103.651,103.651,103.651,103.5456,103.6649,103.654,103.654,104.0518,104.1344,104.2838,104.2615,104.1204,104.3251,104.2271,104.2699,104.3938,104.5331,104.7371,104.8419,104.9664,105.23,105.0566,105.4731,104.9011,104.9601,105.0057,104.8808,104.8436,105.153,105.1241
BTAN FRANCE 2006 3% 12/01/11 - CLEAN PRICE,62522R(CP),96.7545,96.8918,96.9075,96.85,96.9813,97.1012,97.2735,97.2268,97.1445,97.0285,97.1677,97.3139,97.5544,97.4189,97.6794,97.7321,97.6468,97.6618,97.575,97.3661,97.51,97.2876,97.4578,97.5573,97.5277,97.4194,97.068,96.9038,97.0619,96.8793,96.9502,96.8547,96.8828,96.8936,96.9245,97.0025,96.8689,96.8689,96.8689,96.8689,96.7773,96.9087,96.8877,96.8877,97.3273,97.4089,97.5625,97.5455,97.3988,97.6316,97.5599,97.6173,97.7443,97.8791,98.0993,98.2004,98.3426,98.63,98.4528,98.9016,98.3389,98.4088,98.4656,98.3383,98.3162,98.6285,98.6465
OAT FRANCE 1996 6.5% 25/04/11 - CLEAN PRICE,160590(CP),107.5275,107.6783,107.6755,107.6065,107.7457,107.8654,108.0596,108.0191,107.9126,107.7622,107.9186,108.0642,108.3159,108.1821,108.4464,108.4908,108.3601,108.3708,108.2828,108.0149,108.1799,107.9065,108.0838,108.1875,108.1345,108.0041,107.5929,107.3634,107.502,107.2988,107.352,107.2422,107.2605,107.2545,107.2831,107.3547,107.187,107.187,107.187,107.187,107.0438,107.1859,107.1752,107.1752,107.646,107.7273,107.9223,107.9058,107.7382,107.9644,107.8697,107.9208,108.0638,108.2104,108.436,108.5446,108.6898,109.005,108.7897,109.2493,108.5852,108.6539,108.7276,108.562,108.5274,108.872,108.8321
BTAN FRANCE 2006 3 1/2% 12/07/11 - CLEAN PRICE,72811K(CP),97.9263,98.0875,98.1092,98.0434,98.2057,98.3353,98.53,98.4883,98.3857,98.2575,98.4245,98.5697,98.8397,98.6944,98.9601,98.9549,98.8354,98.8529,98.7681,98.5116,98.6606,98.4247,98.6208,98.7524,98.693,98.5613,98.1517,97.9403,98.1252,97.9521,98.0336,97.9315,97.9589,97.9712,97.9995,98.098,97.9405,97.9405,97.9405,97.9405,97.8364,97.9851,97.9948,97.9948,98.4735,98.5643,98.758,98.7447,98.5867,98.8183,98.7375,98.7977,98.9424,99.0965,99.35,99.4518,99.6007,99.6007,99.6809,100.181,99.5597,99.6314,99.711,99.5591,99.5293,99.8959,99.9138
OAT FRANCE 2001 5% 25/10/11 - CLEAN PRICE,18469H(CP),103.1918,103.3497,103.3773,103.3005,103.4776,103.6035,103.8148,103.7725,103.6405,103.4881,103.6589,103.8057,104.0758,103.9332,104.2237,104.2341,104.1147,104.1288,104.0437,103.7388,103.9129,103.6384,103.8544,104.0041,103.9315,103.7872,103.3377,103.0802,103.2348,102.9735,103.0509,102.9347,102.9673,102.9506,102.9756,103.0721,102.8855,102.8855,102.8855,102.8855,102.7554,102.9161,102.9157,102.9157,103.4386,103.5428,103.7698,103.7589,103.5837,103.8534,103.7867,103.8611,104.0325,104.183,104.4109,104.5118,104.6616,104.9836,104.7136,105.2606,104.5531,104.6451,104.7381,104.5625,104.5316,104.9211,104.8862
BTAN FRANCE 2007 3 3/4% 12/01/12 - CLEAN PRICE,84513H(CP),98.5561,98.7303,98.7566,98.6826,98.87,99.0187,99.2319,99.1834,99.0542,98.9079,99.0825,99.2332,99.525,99.3533,99.6574,99.6709,99.5429,99.5528,99.4761,99.1773,99.3635,99.0994,99.3463,99.5085,99.446,99.2965,98.8327,98.5831,98.7378,98.4574,98.5263,98.4275,98.4594,98.4579,98.4941,98.6059,98.4235,98.4235,98.4235,98.4235,98.312,98.4729,98.4821,98.4821,99.0511,99.1563,99.3944,99.3801,99.2252,99.51,99.451,99.5125,99.6756,99.8353,100.0969,100.1572,100.3052,100.6267,100.3516,100.9108,100.2434,100.3118,100.416,100.2466,100.2015,100.6179,100.6383
OAT FRANCE 2002 5% 25/04/12 - CLEAN PRICE,20428R(CP),103.4926,103.665,103.6959,103.6093,103.8157,103.9479,104.1998,104.1501,104.0027,103.8186,104.003,104.1432,104.4394,104.2907,104.624,104.6431,104.4935,104.4997,104.4098,104.0743,104.2621,103.9657,104.2265,104.4123,104.3354,104.1731,103.688,103.4121,103.6032,103.2746,103.3559,103.2313,103.267,103.249,103.2759,103.398,103.1849,103.1849,103.1849,103.1849,103.0444,103.214,103.2082,103.2082,103.8244,103.9344,104.1968,104.186,104.0013,104.302,104.2411,104.3062,104.481,104.6499,104.8818,104.9924,105.1317,105.475,105.1686,105.7433,104.9768,105.0703,105.1957,104.9959,104.9492,105.3892,105.3879
