ISIN, COUPONRATE ,COUPONDATE,MATURITYDATE,ISSUEDATE, ACCRUED , PRICE ,TODAY
XS0043857480,0.075,2405,24052008,4051993,5.2083,100.885,30012008
ES00000120H2,0.029,3110,31102008,12012006,0.7607,99.312,
ES0000012882,0.036,3101,31012009,13012004,0.0393,99.8396,
ES0000011470,0.082,2802,28022009,10121993,7.6608,104.5426,
ES0000012064,0.0515,3007,30072009,7071998,2.6594,102.1204,
ES0000012239,0.04,3101,31012010,5051999,0.0437,100.7399,
ES00000120E9,0.0325,3007,30072010,8042005,1.6783,99.0882,
ES00000120Z4,0.041,3004,30042011,9012008,0.224,101.2,
ES0000012387,0.054,3007,30072011,14092000,2.7885,105.3563,
ES0000012452,0.0535,3110,31102011,5062001,1.4033,105.5376,
ES0000011595,0.087,2802,28022012,3071996,8.1279,118.2,
FR0000109472,0.0625,1004,10042012,1041997,5.1042,108.06,
ES0000012791,0.05,3007,30072012,7052002,2.582,104.8759,
ES00000120L4,0.039,3110,31102012,16012007,1.023,100.3564,
ES0000011660,0.0615,3101,31012013,2071997,0.0672,110.545,
ES0000012866,0.042,3007,30072013,9042003,2.1689,101.8223
ES0000012098,0.0475,3007,30072014,2121998,2.4529,104.9421
ES0000012916,0.044,3101,31012015,23062004,0.0481,102.4621
ES00000120G4,0.0315,3101,31012016,16092005,0.0344,93.6944
ES00000120J8,0.038,3101,31012017,16102006,0.0415,97.212
ES0000012783,0.055,3007,30072017,7032002,2.8402,109.8619
ES0000011868,0.06,3101,31012029,8011998,0.0656,117.9573
ES0000012411,0.0575,3007,30072032,17012001,2.9693,115.6809
ES0000012932,0.042,3101,31012037,11012005,0.0459,92.2923
ES00000120N0,0.049,3007,30072040,13062007,2.5303,103.1228
