ISIN, COUPONRATE ,COUPONDATE,MATURITYDATE,ISSUEDATE, ACCRUED , PRICE ,TODAY
BE0000931585, 0.05500 ,0403,04032008,04032000, 5.0642 , 100.0200 ,30012008
BE0000938655, 0.04550 ,0403,04032008,05032001, 4.1895 , 99.9500 ,
BE0000288945, 0.05750 ,2803,28032008,28031997, 4.9173 , 100.2400 ,
BE0000933607, 0.05500 ,0406,04062008,04062000, 3.6817 , 100.3300 ,
BE0000940677, 0.04650 ,0406,04062008,23052001, 3.1127 , 100.0600 ,
BE0000956830, 0.02800 ,0406,04062008,04062003, 1.8743 , 99.4700 ,
BE0000268749, 0.07500 ,2907,29072008,21071993, 3.8934 , 101.6400 ,
BE0000935628, 0.05450 ,0409,04092008,04092000, 2.2783 , 100.7000 ,
BE0000942699, 0.04350 ,0409,04092008,04092001, 1.8184 , 100.0700 ,
BE0000958851, 0.03200 ,0409,04092008,04092003, 1.3377 , 99.4400 ,
BE0000302118, 0.03000 ,2809,28092008,21052003, 1.0574 , 99.4400 ,
BE0000937640, 0.05300 ,0412,04122008,04122000, 0.8978 , 100.9200 ,
BE0000944711, 0.03650 ,0412,04122008,23112001, 0.6183 , 99.6100 ,
BE0000960873, 0.03400 ,0412,04122008,04122003, 0.5760 , 99.4100 ,
BE0000939661, 0.04750 ,0403,04032009,05032001, 4.3736 , 100.7300 ,
BE0000946732, 0.04400 ,0403,04032009,20022002, 4.0514 , 100.3700 
BE0000962895, 0.03100 ,0403,04032009,04032004, 2.8544 , 99.0300 
BE0000292012, 0.03750 ,2803,28032009,26011999, 3.2070 , 100.0098 
BE0000941683, 0.04900 ,0406,04062009,05062001, 3.2801 , 101.1500 
BE0000948753, 0.04600 ,0406,04062009,24052002, 3.0792 , 100.7600 
BE0000964917, 0.03300 ,0406,04062009,24052004, 2.2090 , 99.1000 
BE0000943705, 0.04750 ,0409,04092009,04092001, 1.9857 , 101.2000 
BE0000950775, 0.03850 ,0409,04092009,04092002, 1.6094 , 99.8500 
BE0000966938, 0.03150 ,0409,04092009,27082004, 1.3168 , 98.8000 
BE0000945726, 0.04150 ,0412,04122009,28112001, 0.7030 , 100.3700 
BE0000952797, 0.03600 ,0412,04122009,25112002, 0.6098 , 99.4200 
BE0000968959, 0.02900 ,0612,06122009,06122004, 0.4754 , 98.2100 
BE0000947748, 0.04700 ,0403,04032010,20022002, 4.3276 , 101.5800 
BE0000954819, 0.03050 ,0403,04032010,04032003, 2.8083 , 98.3600 
BE0000970971, 0.02800 ,0403,04032010,04032005, 2.5781 , 97.8500 
BE0000305145, 0.03000 ,2803,28032010,19012005, 2.5656 , 98.7440 
BE0000949769, 0.04950 ,0406,04062010,24052002, 3.3135 , 103.4300 
BE0000972027, 0.02600 ,0406,04062010,30052005, 1.7404 , 97.0900 
BE0000985151, 0.03800 ,0406,04062010,23052007, 2.5437 , 99.7100 
BE0000951781, 0.04200 ,0409,04092010,04092002, 1.7557 , 100.6100 
BE0000974049, 0.02600 ,0409,04092010,26082005, 1.0869 , 96.7600 
BE0000988189, 0.04100 ,0409,04092010,04092007, 1.7139 , 100.3900 
BE0000295049, 0.05750 ,2809,28092010,18012000, 2.0266 , 105.1310 
