Name,Code,1.11.07,2.11.07,5.11.07,6.11.07,7.11.07,8.11.07,9.11.07,12.11.07,13.11.07,14.11.07,15.11.07,16.11.07,19.11.07,20.11.07,21.11.07,22.11.07,23.11.07,26.11.07,27.11.07,28.11.07,29.11.07,30.11.07,3.12.07,4.12.07,5.12.07,6.12.07,7.12.07,10.12.07,11.12.07,12.12.07,13.12.07,14.12.07,17.12.07,18.12.07,19.12.07,20.12.07,21.12.07,24.12.07,25.12.07,26.12.07,27.12.07,28.12.07,31.12.07,1.1.08,2.1.08,3.1.08,4.1.08,7.1.08,8.1.08,9.1.08,10.1.08,11.1.08,14.1.08,15.1.08,16.1.08,17.1.08,18.1.08,21.1.08,22.1.08,23.1.08,24.1.08,25.1.08,28.1.08,29.1.08,30.1.08,31.1.08,1.2.08
BTAN FRANCE 2004 3% 12/01/10 - ACCRUED INTEREST,476999(AC),2.4164,2.4411,2.4493,2.4575,2.4658,2.474,2.4986,2.5068,2.5151,2.5233,2.5315,2.5562,2.5644,2.5726,2.5808,2.589,2.6137,2.6219,2.6301,2.6384,2.6466,2.6712,2.6795,2.6877,2.6959,2.7041,2.7288,2.737,2.7452,2.7534,2.7616,2.7863,2.7945,2.8027,2.811,2.8192,2.8438,2.8521,2.8603,2.8685,2.8767,2.9014,2.9096,2.9178,2.926,2.9342,2.9589,2.9671,2.9753,2.9836,2.9918,0.0164,0.0246,0.0328,0.041,0.0492,0.0738,0.082,0.0902,0.0984,0.1066,0.1311,0.1393,0.1475,0.1557,0.1639,0.1885
OAT FRANCE 2000 5 1/2% 25/04/10 - ACCRUED INTEREST,206606(AC),2.9303,2.9454,2.9604,2.9754,3.0205,3.0355,3.0505,3.0656,3.0806,3.1257,3.1407,3.1557,3.1708,3.1858,3.2309,3.2459,3.2609,3.276,3.291,3.3361,3.3511,3.3661,3.3811,3.3962,3.4413,3.4563,3.4713,3.4863,3.5014,3.5464,3.5615,3.5765,3.5915,3.6066,3.6516,3.6667,3.6817,3.6967,3.7117,3.7568,3.7719,3.7869,3.8019,3.8169,3.862,3.877,3.8921,3.9071,3.9221,3.9672,3.9822,3.9973,4.0123,4.0273,4.0724,4.0874,4.1025,4.1175,4.1325,4.1776,4.1926,4.2077,4.2227,4.2377,4.2828,4.2978,4.3128
BTAN FRANCE 2005 2 1/2% 12/07/10 - ACCRUED INTEREST,55752N(AC),0.7719,0.7923,0.7992,0.806,0.8128,0.8197,0.8402,0.847,0.8538,0.8607,0.8675,0.888,0.8948,0.9016,0.9085,0.9153,0.9358,0.9426,0.9495,0.9563,0.9631,0.9836,0.9904,0.9973,1.0041,1.0109,1.0314,1.0383,1.0451,1.0519,1.0587,1.0792,1.0861,1.0929,1.0997,1.1066,1.127,1.1339,1.1407,1.1475,1.1544,1.1749,1.1817,1.1885,1.1954,1.2022,1.2227,1.2295,1.2363,1.2432,1.25,1.2705,1.2773,1.2842,1.291,1.2978,1.3183,1.3251,1.332,1.3388,1.3456,1.3661,1.373,1.3798,1.3866,1.3934,1.4139
OAT FRANCE 2000 5 1/2% 25/10/10 - ACCRUED INTEREST,221374(AC),0.1803,0.1954,0.2104,0.2254,0.2705,0.2855,0.3005,0.3156,0.3306,0.3757,0.3907,0.4057,0.4208,0.4358,0.4809,0.4959,0.5109,0.526,0.541,0.5861,0.6011,0.6161,0.6311,0.6462,0.6913,0.7063,0.7213,0.7363,0.7514,0.7964,0.8115,0.8265,0.8415,0.8566,0.9016,0.9167,0.9317,0.9467,0.9617,1.0068,1.0219,1.0369,1.0519,1.0669,1.112,1.127,1.1421,1.1571,1.1721,1.2172,1.2322,1.2473,1.2623,1.2773,1.3224,1.3374,1.3525,1.3675,1.3825,1.4276,1.4426,1.4577,1.4727,1.4877,1.5328,1.5478,1.5628
BTAN FRANCE 2006 3% 12/01/11 - ACCRUED INTEREST,62522R(AC),2.4164,2.4411,2.4493,2.4575,2.4658,2.474,2.4986,2.5068,2.5151,2.5233,2.5315,2.5562,2.5644,2.5726,2.5808,2.589,2.6137,2.6219,2.6301,2.6384,2.6466,2.6712,2.6795,2.6877,2.6959,2.7041,2.7288,2.737,2.7452,2.7534,2.7616,2.7863,2.7945,2.8027,2.811,2.8192,2.8438,2.8521,2.8603,2.8685,2.8767,2.9014,2.9096,2.9178,2.926,2.9342,2.9589,2.9671,2.9753,2.9836,2.9918,0.0164,0.0246,0.0328,0.041,0.0492,0.0738,0.082,0.0902,0.0984,0.1066,0.1311,0.1393,0.1475,0.1557,0.1639,0.1885
OAT FRANCE 1996 6.5% 25/04/11 - ACCRUED INTEREST,160590(AC),3.4631,3.4809,3.4986,3.5164,3.5697,3.5874,3.6052,3.623,3.6407,3.694,3.7117,3.7295,3.7473,3.765,3.8183,3.8361,3.8538,3.8716,3.8893,3.9426,3.9604,3.9781,3.9959,4.0137,4.0669,4.0847,4.1025,4.1202,4.138,4.1913,4.209,4.2268,4.2445,4.2623,4.3156,4.3333,4.3511,4.3689,4.3866,4.4399,4.4577,4.4754,4.4932,4.5109,4.5642,4.582,4.5997,4.6175,4.6352,4.6885,4.7063,4.724,4.7418,4.7596,4.8128,4.8306,4.8484,4.8661,4.8839,4.9372,4.9549,4.9727,4.9904,5.0082,5.0615,5.0792,5.097
BTAN FRANCE 2006 3 1/2% 12/07/11 - ACCRUED INTEREST,72811K(AC),1.0806,1.1093,1.1189,1.1284,1.138,1.1475,1.1762,1.1858,1.1954,1.2049,1.2145,1.2432,1.2527,1.2623,1.2719,1.2814,1.3101,1.3197,1.3292,1.3388,1.3484,1.377,1.3866,1.3962,1.4057,1.4153,1.444,1.4536,1.4631,1.4727,1.4822,1.5109,1.5205,1.5301,1.5396,1.5492,1.5779,1.5874,1.597,1.6066,1.6161,1.6448,1.6544,1.6639,1.6735,1.6831,1.7117,1.7213,1.7309,1.7404,1.75,1.7787,1.7883,1.7978,1.8074,1.8169,1.8456,1.8552,1.8648,1.8743,1.8839,1.9126,1.9221,1.9317,1.9413,1.9508,1.9795
OAT FRANCE 2001 5% 25/10/11 - ACCRUED INTEREST,18469H(AC),0.1639,0.1776,0.1913,0.2049,0.2459,0.2596,0.2732,0.2869,0.3005,0.3415,0.3552,0.3689,0.3825,0.3962,0.4372,0.4508,0.4645,0.4781,0.4918,0.5328,0.5464,0.5601,0.5738,0.5874,0.6284,0.6421,0.6557,0.6694,0.6831,0.724,0.7377,0.7514,0.765,0.7787,0.8197,0.8333,0.847,0.8607,0.8743,0.9153,0.929,0.9426,0.9563,0.9699,1.0109,1.0246,1.0383,1.0519,1.0656,1.1066,1.1202,1.1339,1.1475,1.1612,1.2022,1.2158,1.2295,1.2432,1.2568,1.2978,1.3115,1.3251,1.3388,1.3525,1.3934,1.4071,1.4208
BTAN FRANCE 2007 3 3/4% 12/01/12 - ACCRUED INTEREST,84513H(AC),3.0205,3.0514,3.0616,3.0719,3.0822,3.0925,3.1233,3.1336,3.1438,3.1541,3.1644,3.1952,3.2055,3.2158,3.226,3.2363,3.2671,3.2774,3.2877,3.2979,3.3082,3.339,3.3493,3.3596,3.3699,3.3801,3.411,3.4212,3.4315,3.4418,3.4521,3.4829,3.4932,3.5034,3.5137,3.524,3.5548,3.5651,3.5753,3.5856,3.5959,3.6267,3.637,3.6473,3.6575,3.6678,3.6986,3.7089,3.7192,3.7295,3.7397,0.0205,0.0307,0.041,0.0512,0.0615,0.0922,0.1025,0.1127,0.123,0.1332,0.1639,0.1742,0.1844,0.1947,0.2049,0.2357
OAT FRANCE 2002 5% 25/04/12 - ACCRUED INTEREST,20428R(AC),2.6639,2.6776,2.6913,2.7049,2.7459,2.7596,2.7732,2.7869,2.8005,2.8415,2.8552,2.8689,2.8825,2.8962,2.9372,2.9508,2.9645,2.9781,2.9918,3.0328,3.0464,3.0601,3.0738,3.0874,3.1284,3.1421,3.1557,3.1694,3.1831,3.224,3.2377,3.2514,3.265,3.2787,3.3197,3.3333,3.347,3.3607,3.3743,3.4153,3.429,3.4426,3.4563,3.4699,3.5109,3.5246,3.5383,3.5519,3.5656,3.6066,3.6202,3.6339,3.6475,3.6612,3.7022,3.7158,3.7295,3.7432,3.7568,3.7978,3.8115,3.8251,3.8388,3.8525,3.8934,3.9071,3.9208
