ISIN, COUPONRATE ,COUPONDATE,MATURITYDATE,ISSUEDATE, ACCRUED , PRICE ,TODAY
DE0001141414, 0.04250 ,1502,15022008,14082002, 4.0870 , 100.0020 ,30012008
DE0001137131, 0.03000 ,1403,14032008,08032006, 2.6557 , 99.9200 ,
DE0001141422, 0.03000 ,1104,11042008,11042003, 2.4262 , 99.8050 ,
DE0001137149, 0.03250 ,1306,13062008,30052006, 2.0690 , 99.7500 ,
DE0001135093, 0.04125 ,0407,04072008,04071998, 2.3893 , 100.0650 ,
DE0001135077, 0.04750 ,0407,04072008,04071998, 2.7514 , 100.3050 ,
DE0001137156, 0.03500 ,1209,12092008,30082006, 1.3579 , 99.7600 ,
DE0001141430, 0.03500 ,1010,10102008,25092003, 1.0902 , 99.7500 ,
DE0001137164, 0.03750 ,1212,12122008,30112006, 0.5225 , 99.9750 ,
DE0001135101, 0.03750 ,0401,04012009,04011999, 0.2869 , 100.0416 ,
DE0001137172, 0.03750 ,1303,13032009,28022007, 3.3299 , 100.0574 ,
DE0001141448, 0.03250 ,1704,17042009,02022004, 2.5751 , 99.5049 ,
DE0001137180, 0.04500 ,1206,12062009,30052007, 2.8770 , 101.0971 ,
DE0001135127, 0.04500 ,0407,04072009,04071999, 2.6066 , 101.1370 ,
DE0001135119, 0.04000 ,0407,04072009,24031999, 2.3169 , 100.4673 ,
DE0001137198, 0.04000 ,1109,11092009,24082007, 1.5628 , 100.7199 ,
DE0001141455, 0.03500 ,0910,09102009,25082004, 1.0997 , 99.8883 ,
DE0001137206, 0.04000 ,1112,11122009,21092007, 0.5683 , 100.9080 ,
DE0001135135, 0.05375 ,0401,04012010,22101999, 0.4112 , 103.3553 ,
DE0001141463, 0.03250 ,0904,09042010,24022005, 2.6462 , 99.5034 ,
DE0001135150, 0.05250 ,0407,04072010,05052000, 3.0410 , 103.9130 ,
DE0001141471, 0.02500 ,0810,08102010,26082005, 0.7923 , 97.4229 ,
DE0001135168, 0.05250 ,0401,04012011,29092000, 0.4016 , 104.5636 ,
DE0001141489, 0.03500 ,0804,08042011,26022006, 2.8593 , 99.7527 ,
DE0001135184, 0.05000 ,0407,04072011,23052001, 2.8962 , 104.3708 ,
DE0001141497, 0.03500 ,1410,14102011,30082006, 1.0519 , 99.6051 ,
DE0001135192, 0.05000 ,0401,04012012,28122001, 0.3825 , 104.8603 ,
DE0001141505, 0.04000 ,1304,13042012,28022007, 3.3661 , 101.3415 ,
DE0001135200, 0.05000 ,0407,04072012,26062002, 2.8962 , 105.2900 ,
DE0001141513, 0.04250 ,1210,12102012,24082007, 1.4631 , 102.4969 ,
DE0001135218, 0.04500 ,0401,04012013,31122002, 0.3443 , 103.7602 ,
DE0001135234, 0.03750 ,0407,04072013,24062003, 2.1721 , 100.2803 ,
DE0001135242, 0.04250 ,0401,04012014,21102003, 0.3251 , 102.6046 ,
DE0001135259, 0.04250 ,0407,04072014,25042004, 2.4617 , 102.5291 ,
DE0001135267, 0.03750 ,0401,04012015,27102004, 0.2869 , 99.4748 ,
DE0001135283, 0.03250 ,0407,04072015,28042005, 1.8825 , 95.9702 ,
DE0001135291, 0.03500 ,0401,04012016,30102005, 0.2678 , 97.1815 ,
DE0001134468, 0.06000 ,2006,20062016,20061986, 3.7049 , 114.2849 ,
DE0001135309, 0.04000 ,0407,04072016,26042006, 2.3169 , 100.2847 ,
DE0001134492, 0.05625 ,2009,20092016,20091986, 2.0594 , 112.2300 ,
DE0001135317, 0.03750 ,0401,04012017,31102006, 0.2869 , 98.3970 ,
DE0001135333, 0.04250 ,0407,04072017,27042007, 2.9262 , 102.0235 ,
DE0001135341, 0.04000 ,1401,04012018,21092007, 0.8415 , 99.8483 ,
DE0001134922, 0.06250 ,0401,04012024,29121993, 0.4781 , 121.2711 ,
DE0001135044, 0.06500 ,0407,04072027,03071997, 3.7650 , 125.9157 ,
DE0001135069, 0.05625 ,0401,04012028,04011998, 0.4303 , 114.5791 ,
DE0001135085, 0.04750 ,0407,04072028,07101998, 2.7514 , 103.2202 ,
DE0001135143, 0.06250 ,0401,04012030,04012000, 0.4781 , 123.4668 ,
DE0001135176, 0.05500 ,0401,04012031,27102000, 0.4208 , 113.4694 ,
DE0001135226, 0.04750 ,0407,04072034,22012003, 2.7514 , 103.1873 ,
DE0001135275, 0.04000 ,0401,04012037,24122004, 0.3060 , 91.5603 ,
DE0001135325, 0.04250 ,0407,04072039,28122006, 4.3081 , 95.4441 ,
