20042006,98.7707,106.2375,95.4025,106.7512,106.0141,106.3409,106.6391,104.0393,99.4852,102.5097,102.4893,98.8805,94.9607,96.5722,126.1556
21042006,98.7527,106.2074,95.3707,106.7141,105.9724,106.2901,106.5748,103.9703,99.413,102.4213,102.3909,98.7781,94.8569,96.4613,125.9288
24042006,98.7253,106.1801,95.3463,106.6799,105.938,106.2594,106.554,103.9577,99.4115,102.4243,102.4051,98.8033,94.8847,96.4998,125.9871
25042006,98.4804,105.9068,95.0783,106.3715,105.6103,105.9119,106.1826,103.5783,99.0273,102.0301,101.9984,98.3943,94.4728,96.0818,125.36
26042006,98.4406,105.8477,95.0533,106.3194,105.5674,105.8706,106.1511,103.5563,99.0223,102.0308,102.0046,98.4199,94.5072,96.1199,125.5018
27042006,98.501,105.9064,95.1214,106.3892,105.642,105.941,106.2233,103.6244,99.0856,102.0888,102.0512,98.4552,94.5377,96.1563,125.5499
28042006,98.5483,105.9608,95.1855,106.4543,105.7174,106.028,106.3243,103.7452,99.2253,102.2443,102.2324,98.6356,94.7231,96.3544,126.0222
01052006,98.5483,105.9608,95.1855,106.4543,105.7174,106.028,106.3243,103.7452,99.2253,102.2443,102.2324,98.6356,94.7231,96.3544,126.0222
02052006,98.5092,105.9202,95.1486,106.4075,105.6582,105.9675,106.2546,103.6671,99.1416,102.1462,102.1269,98.5201,94.6088,96.2176,125.8325
03052006,98.4615,105.8415,95.0926,106.3144,105.5549,105.8578,106.1392,103.5474,99.0141,102.0023,101.983,98.3456,94.4254,96.0259,125.4393
04052006,98.3654,105.7265,94.9818,106.1774,105.4078,105.6988,105.9694,103.3728,98.8315,101.8117,101.7885,98.1303,94.203,95.7842,125.0125
05052006,98.4812,105.8618,95.1224,106.3335,105.5816,105.8855,106.1724,103.5833,99.0526,102.0456,102.0369,98.3819,94.4561,96.0415,125.2327
08052006,98.404,105.766,95.0407,106.2344,105.4787,105.7806,106.0755,103.4807,98.9555,101.9417,101.934,98.2909,94.3632,95.9449,125.0681
09052006,98.3891,105.7437,95.0247,106.2045,105.45,105.7462,106.0304,103.4301,98.9043,101.882,101.8637,98.2251,94.2936,95.8634,124.9668
10052006,98.5006,105.8569,95.1593,106.3367,105.5945,105.9004,106.1945,103.6028,99.0826,102.0621,102.0525,98.4237,94.4849,96.0549,125.2663
11052006,98.3106,105.6315,94.937,106.0786,105.3068,105.5755,105.8504,103.2357,98.7028,101.6532,101.6185,97.9817,94.0142,95.5509,124.3529
12052006,98.3864,105.713,95.0155,106.1661,105.3884,105.6509,105.9048,103.2703,98.7398,101.6768,101.6227,97.9778,94.0115,95.5457,124.2179
15052006,98.6688,106.0198,95.3242,106.5074,105.7513,106.0273,106.2819,103.6678,99.1189,102.0609,102.007,98.3528,94.3767,95.9137,124.6545
16052006,98.8085,106.1724,95.4837,106.6951,105.9463,106.2546,106.5117,103.9107,99.3683,102.3341,102.3013,98.6497,94.6774,96.2176,125.2247
17052006,98.5705,105.8876,95.2119,106.3629,105.5823,105.8496,106.0685,103.435,98.8778,101.7847,101.7065,98.0378,94.0483,95.5611,123.7987
18052006,98.8189,106.1727,95.5043,106.6949,105.9583,106.2532,106.5059,103.8931,99.3636,102.3153,102.2508,98.6238,94.6277,96.1671,124.6672
19052006,98.8801,106.2388,95.5815,106.7771,106.0478,106.3557,106.6251,104.019,99.5099,102.4792,102.4316,98.826,94.8356,96.3829,125.0847
22052006,99.0773,106.4667,95.8125,107.046,106.3426,106.6765,106.9702,104.3764,99.8787,102.8847,102.8566,99.2722,95.2893,96.864,125.9032
23052006,98.9803,106.3497,95.7027,106.9194,106.2116,106.5404,106.8329,104.233,99.7365,102.7436,102.7238,99.1463,95.1619,96.7188,125.7825
24052006,99.0991,106.4726,95.845,107.0694,106.3824,106.7319,107.0484,104.4649,100.0005,103.0317,103.0348,99.4833,95.5017,97.0711,126.4641
25052006,99.1346,106.5103,95.8906,107.1092,106.4389,106.7932,107.119,104.5514,100.0943,103.1404,103.1621,99.6094,95.6471,97.2166,126.6785
26052006,99.1085,106.4725,95.8635,107.0599,106.3911,106.7435,107.0689,104.5077,100.0487,103.0817,103.0947,99.5313,95.576,97.1527,126.5369
29052006,99.0696,106.4263,95.8256,107.014,106.3381,106.6899,107.0149,104.4583,100.0019,103.0365,103.0532,99.4946,95.5398,97.1137,126.4977
30052006,98.8947,106.2248,95.6283,106.7798,106.0967,106.4277,106.7394,104.1673,99.7132,102.7265,102.727,99.1499,95.1964,96.7496,125.815
31052006,98.7689,106.0725,95.4938,106.6035,105.9005,106.2275,106.535,103.9632,99.5185,102.5141,102.518,98.9391,94.9911,96.5325,125.4577
01062006,98.6812,105.9659,95.3955,106.4904,105.7717,106.089,106.3828,103.8011,99.3501,102.3232,102.3177,98.7349,94.7729,96.2997,125.0429
02062006,98.8438,106.153,95.5956,106.7197,106.0285,106.3689,106.6939,104.1323,99.6986,102.7089,102.7328,99.1612,95.2118,96.764,125.9486
05062006,98.6664,105.9584,95.4087,106.5002,105.8232,106.1356,106.4586,103.9003,99.4668,102.4749,102.5023,98.9341,94.9846,96.5226,125.5458
06062006,98.5309,105.7996,95.2585,106.3096,105.6226,105.9175,106.213,103.6383,99.1952,102.1793,102.1855,98.6124,94.6814,96.193,124.9305
07062006,98.5295,105.7911,95.2686,106.2894,105.6175,105.9147,106.2156,103.6477,99.2101,102.1876,102.1945,98.6192,94.7021,96.2225,125.005
08062006,98.7861,106.0648,95.5432,106.5709,105.9503,106.2648,106.5905,104.0345,99.6036,102.5989,102.6158,98.9982,95.0975,96.6553,125.662
09062006,98.8658,106.1427,95.6248,106.6649,106.0277,106.3478,106.6775,104.1271,99.6966,102.6999,102.7091,99.0991,95.2185,96.7614,125.821
12062006,98.9574,106.2433,95.7374,106.781,106.1602,106.4849,106.8158,104.2713,99.8446,102.849,102.8648,99.2467,95.3664,96.9196,126.0923
13062006,99.086,106.3913,95.8977,106.9616,106.3625,106.7119,107.0725,104.5537,100.1426,103.1779,103.2261,99.628,95.7531,97.3383,126.8478
14062006,98.935,106.2072,95.7314,106.7562,106.1257,106.4755,106.8292,104.3068,99.906,102.9268,102.9695,99.3899,95.5215,97.0854,126.4223
15062006,98.7436,105.9898,95.5121,106.4875,105.8339,106.1579,106.4908,103.9529,99.5429,102.5364,102.5563,98.973,95.0912,96.6415,125.6324
16062006,98.7986,106.0468,95.5754,106.553,105.9099,106.237,106.5782,104.0515,99.6397,102.6423,102.6682,99.0875,95.2021,96.769,125.8433
19062006,98.6452,105.8691,95.4093,106.3557,105.692,106.0091,106.3448,103.8079,99.4,102.3915,102.4209,98.8383,94.954,96.51,125.4528
20062006,98.5375,105.741,95.2884,106.214,105.5404,105.8454,106.1701,103.6279,99.2183,102.1981,102.2218,98.6372,94.7537,96.3072,125.0892
